# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
2.6921        0.0095  
2.7451        0.0067  
2.7981        0.0040  
2.8512        0.0029  
2.9042        0.0014  
2.9572        0.0010  
3.0102        0.0007  
3.0633        0.0004  
3.1163        0.0001  
3.1693        0.0001  
3.2223        0.0000  
3.2754        0.0000  
3.3284        0.0000  
#----------------------------------------
# Probability of Window [ 0.21, 0.22 ]
# Value       Probability
0.5982        0.0000  
0.6538        0.0000  
0.7094        0.0000  
0.7650        0.0000  
0.8205        0.0000  
0.8761        0.0000  
0.9317        0.0002  
0.9873        0.0002  
1.0429        0.0003  
1.0985        0.0004  
1.1541        0.0006  
1.2096        0.0012  
1.2652        0.0020  
1.3208        0.0029  
1.3764        0.0037  
1.4320        0.0055  
1.4876        0.0081  
1.5432        0.0122  
1.5987        0.0158  
1.6543        0.0221  
1.7099        0.0279  
1.7655        0.0337  
1.8211        0.0425  
1.8767        0.0498  
1.9323        0.0573  
1.9878        0.0641  
2.0434        0.0699  
2.0990        0.0740  
2.1546        0.0744  
2.2102        0.0727  
2.2658        0.0661  
2.3214        0.0603  
2.3769        0.0530  
2.4325        0.0463  
2.4881        0.0370  
2.5437        0.0290  
2.5993        0.0212  
2.6549        0.0160  
2.7105        0.0115  
2.7660        0.0068  
2.8216        0.0046  
2.8772        0.0028  
2.9328        0.0018  
2.9884        0.0012  
3.0440        0.0004  
3.0996        0.0002  
3.1551        0.0002  
3.2107        0.0001  
3.2663        0.0001  
3.3219        0.0000  
#----------------------------------------
# Probability of Window [ 0.22, 0.23 ]
# Value       Probability
0.7076        0.0000  
0.7617        0.0000  
0.8157        0.0000  
0.8698        0.0001  
0.9238        0.0001  
0.9779        0.0001  
1.0319        0.0002  
1.0860        0.0004  
1.1400        0.0005  
1.1941        0.0007  
1.2481        0.0014  
1.3022        0.0022  
1.3562        0.0030  
1.4103        0.0047  
1.4643        0.0066  
1.5184        0.0090  
1.5724        0.0119  
1.6265        0.0167  
1.6805        0.0224  
1.7346        0.0279  
1.7886        0.0334  
